,trials,presented_point,time_between_samples_mean,time_between_samples_std,sampling_rate_mean,sampling_rate_std,last_time_sample,horizontal_errors_pxs_mean,horizontal_errors_pxs_std,vertical_errors_pxs_mean,vertical_errors_pxs_std,total_errors_pxs_mean,total_errors_pxs_std
402,45.0,"(541.0, 536.0)",53.64705882352941,12.390419337112082,19.662504170756094,4.592564683480967,912,192.75,115.2577726952359,200.58333333333334,32.907593686294085,293.40816757285603,75.26717213725256
403,45.0,"(960.0, 536.0)",46.73684210526316,12.53560027434774,23.058136417691266,6.551014567609434,888,124.46153846153847,97.91174627781695,306.3076923076923,30.03429991855367,343.4173597245948,43.22456701500212
404,45.0,"(1379.0, 536.0)",47.05263157894737,14.680720203939968,23.17981617610875,6.336144867242144,894,155.73333333333332,155.39689686591413,148.93333333333334,82.42448395686536,221.28481645865853,168.54978494456114
405,46.0,"(1379.0, 941.0)",48.578947368421055,12.52498887266523,22.213885387823908,6.663738335773364,923,168.6153846153846,147.04449272324578,403.9230769230769,161.9945210557166,445.7363680661409,201.91185669869293
406,46.0,"(960.0, 536.0)",49.27777777777778,11.079538475925169,21.567666333578988,6.033584867695881,887,143.75,136.89419576203125,280.4166666666667,68.10220056813307,344.8230628425315,61.421130988411186
407,46.0,"(960.0, 941.0)",50.388888888888886,12.39685842322288,21.17114340772946,5.680612294092043,907,51.69230769230769,40.80607913870869,415.0,149.83426741672844,419.27228069061306,152.3919063009262
408,46.0,"(960.0, 131.0)",47.05263157894737,12.167574182878232,22.76045641108596,6.064336397433681,894,60.92857142857143,52.837303226460165,202.5,139.57217794798095,215.03372114785586,144.05281342278764
409,46.0,"(1379.0, 536.0)",49.27777777777778,13.440426396822202,22.082789084200215,6.8529065821475665,887,86.46153846153847,80.06018446203252,268.0,67.54827333669773,285.9217619256858,92.30788729741059
410,46.0,"(541.0, 131.0)",50.666666666666664,13.82831234179436,21.29939010584421,5.982210273803563,912,159.57142857142858,172.7234429806853,104.35714285714286,42.84291430473012,207.0988360083955,158.53210799968835
411,46.0,"(1379.0, 131.0)",46.55,11.73658809024156,23.0011251888428,6.303955639655321,931,137.86666666666667,207.2415230808944,14.266666666666667,11.607277410697519,140.3419894602718,206.39442659060902
412,46.0,"(541.0, 536.0)",52.23529411764706,12.628303466535263,20.29786865442898,4.984258755428549,888,169.91666666666666,115.50069143612183,126.0,70.01904502823976,217.441613955741,125.33911807700935
413,46.0,"(541.0, 941.0)",46.45,10.660558146738845,22.753671227309404,5.493463873309193,929,182.15384615384616,140.14654207092613,321.3076923076923,213.93578641746493,374.30855477354305,248.43779219871593
414,47.0,"(960.0, 131.0)",52.588235294117645,13.464807390463621,20.34873067381038,5.397956398148704,894,41.18181818181818,19.958220825324002,113.0909090909091,28.61485483722348,121.95859834595157,28.7877865270539
415,47.0,"(541.0, 536.0)",48.10526315789474,16.215310298870097,23.24179844509326,7.7026579441741205,914,154.75,97.45693493367553,218.25,93.4533083059842,297.89832608314697,32.68925384371782
416,47.0,"(1379.0, 131.0)",54.05882352941177,9.878500649719328,18.984758622275823,2.6835499139110013,919,147.08333333333334,130.9067469188998,32.416666666666664,28.654430528085687,151.96097893064095,132.47588792848796
417,47.0,"(960.0, 536.0)",45.5,12.2494897852931,23.61940554711901,6.3323255978893895,910,126.6923076923077,71.76284084011577,376.61538461538464,46.07775779390323,402.70318643701347,54.711036177629076
418,47.0,"(541.0, 131.0)",52.529411764705884,12.141894643602052,20.200767252348193,5.264474407100978,893,107.5,97.75010656430679,78.5,47.08768416475799,153.01338732072932,77.95983987906723
419,47.0,"(1379.0, 536.0)",47.94736842105263,9.098719888045133,21.85518807885556,5.431419895527513,911,142.84615384615384,128.69274449325846,296.2307692307692,45.03529188084495,341.49591905807824,100.63910559206488
420,47.0,"(541.0, 941.0)",45.7,13.561342116472101,23.81041678527752,6.806649623633244,914,231.35714285714286,171.25278189309054,330.57142857142856,125.86597990703916,411.81054145960434,195.92201276427483
421,47.0,"(960.0, 941.0)",46.25,10.236576576180143,22.811384262637706,5.511293093597773,925,121.28571428571429,92.27399306369247,236.35714285714286,42.25028680013755,276.77635541950696,65.34025620316149
422,47.0,"(1379.0, 941.0)",50.5,11.72011566116611,21.042325262456096,5.656471961826455,909,130.66666666666666,177.65384569124558,165.16666666666666,31.850780559072998,233.81282298427448,149.20030319939366
423,48.0,"(960.0, 131.0)",46.94736842105263,13.57037673219648,23.18917020728729,6.784901358204762,892,95.84615384615384,52.78672058219269,75.84615384615384,37.619238437157605,126.61084940380337,55.77151642206494
424,48.0,"(960.0, 536.0)",42.04545454545455,13.06792489866026,25.77544524558917,6.546686509456751,925,62.5625,45.7902401582477,329.8125,54.75424498383664,337.7144223469965,61.107233113883154
425,48.0,"(541.0, 131.0)",50.666666666666664,11.328430311977618,20.914253151689493,5.580155444958407,912,102.66666666666667,109.38032526718666,118.0,60.340699366182356,180.5960005528249,86.33993620755155
426,48.0,"(541.0, 536.0)",47.68421052631579,12.286289455619121,22.515459232033294,6.3402506963717915,906,123.78571428571429,72.65591960096042,177.28571428571428,76.51650482218906,235.9313151945909,47.15082422223751
427,48.0,"(1379.0, 941.0)",48.8421052631579,13.035430091605347,21.97895630741332,5.85309165403234,928,174.71428571428572,270.3596621886769,344.5,96.33108829151973,418.1124227184697,238.2464251806285
428,48.0,"(1379.0, 536.0)",47.10526315789474,8.85494055875978,22.108829430940425,4.755141099592166,895,81.5,28.613807855648993,96.83333333333333,39.94753503729054,130.4901752769865,37.49418829873966
429,48.0,"(541.0, 941.0)",46.3,13.157127346043286,23.241888062561955,5.958872155303893,926,142.26666666666668,200.65541496694166,242.4,113.5633743774814,295.8918082140313,211.19857440766708
430,48.0,"(1379.0, 131.0)",55.6875,13.489434522988724,19.2495724325447,5.6118993865658355,891,221.8181818181818,189.94966710436177,141.1818181818182,164.12955978949742,271.28652448018323,241.98888742143296
431,48.0,"(960.0, 941.0)",51.94117647058823,15.22177460565386,20.989682179884127,6.292727723934324,883,135.08333333333334,61.375155577987925,365.9166666666667,132.99276818266807,392.1012407449426,140.90108944318558
432,49.0,"(541.0, 941.0)",43.904761904761905,11.300673228595768,24.287413337400857,5.996914635418118,922,113.53333333333333,122.23140167549238,142.26666666666668,92.60055195419854,185.6542352871657,148.92113657885415
433,49.0,"(1379.0, 536.0)",47.68421052631579,13.653812390602997,22.793261781488884,6.648212936924955,906,74.23076923076923,92.67657063984473,66.92307692307692,51.15506071432611,109.06010170493862,96.43954854623051
